email,full name,tz,team_number
dov.yosef@knesset.gov.il, Dov Yosef, 1234560, 1
zalman.shazar@knesset.gov.il, Zalman Shazar, 1234561, 1
moshe.sharett@knesset.gov.il, Moshe Sharett, 1234562, 1
eliezer.kaplan@knesset.gov.il, Eliezer Kaplan, 1234563, 2
golda.meir@knesset.gov.il, Golda Meir, 1234564, 2
david.remez@knesset.gov.il, David Remez, 1234565, 2
pinchas.rosen@knesset.gov.il, Pinchas Rosen, 1234566, 3
bechor-shalom.sheetrit@knesset.gov.il, Bechor-Shalom Sheetrit, 1234567, 3
haim-moshe.shapira@knesset.gov.il, Haim-Moshe Shapira, 1234568, 4
yehuda.leib-maimon@knesset.gov.il, Yehuda Leib Maimon, 1234569, 4
yitzhak-meir.levin@knsesset.gov.il, Yitzhak-Meir Levin. 1234570, 4
